reviews,reviewers,date_reviews,rating,course_id
"To be honest, I thought the course stumbled and fell short.  It was too basic and slow paced.  The tone was a bit immature at times, and perhaps appropriate only for a grade school level classroom--not something for working professionals.  And it's certainly not mature enough or challenging enough for a university class.  Even if the goal were to teach those with no programming experience, it could accomplish that  while providing more content, and making the content relevant. Is the course worth the price?  Hell no.  If you do pay, you may feel very cheated at the end.  The entire course can be reduced to 3 pages of notes.  One would be better off checking into other free, online tutorials.    I'm not sure about the value of the videos titled ""Office Hours.""  They all appeared as self-promotional behavior from the professor, as if to say, ""hey look how great I am making this video in Paris.""  They're really nothing more than that.  In one video, he corners a guest speaker at a conference, who appears annoyed after a few minutes and gives the professor a polite brush-off:  ""other people here would like to talk with me too.""  After all of these videos, you will ask yourself, ""okay, why did Severance make me watch that?""  ""What was the point?""  And you'll shrug your shoulders and say, ""another waste of time.""",By Terence P,"May 11, 2016",1,python
This Course is bad! I try to ask for help and then mentors only reply with I cant help you because of the Honor code. Well tat doesn't sound like much of an honor code to me. Of course I am doing my own work duh! I just need help. Dont we all need help from time to time. I think Coursera needs a lot of improvement. I am extremely dissatisfied with Coursera and this course but especially the mentors and their lack of mentoring. Education should be uplifting and positive and an area where individuals can ask question and receive help and not be scolded for asking help or asking questions like a beat down dog. I mean really I think Coursera needs to go take some hints from a real school or university and seek information on education and how it is best when students teach each other and If I can ask for help and learn from others and give then the opportunity to help me that whats the point of a discussion board. Do away with the discussion board or change the way the honor code is written. Yes I agree with Honor and doing your own work but come on. Help and tutoring is a valuable part of education and necessary to learning! Please make the necessary changes to better Coursera and make it a more positive educational experience. I mean please I am trying the best I can with what I have got and no one seems to want to help me learn and improve on my skills and my understanding. Make changes and make them now.Another reason I hate this course Is that Coursera does not believe in people helping one another. Then the mentors cant even explain how to work through the problem. The menotrs make things more stressful than they need to be because the dont give help or hints or clues. People need to talk to people on the phone or in person or the instructor needs to give better examples so people can better figure things out on their own. I just think Coursera is crap and this has been a very unpleaseant experience for me. Then on the discussing board i see others struggling with the same things and the mentos dont help them. People are pleading for help and not receiving any guidance or direction to help them figure things out. Things need to change with this program. They need to change soon!,By Josh M,"Oct 21, 2016",1,python
"Very simple, very slow. For someone with programming experience it is a drug, for someone new to programing (I am thinking my son) not very captivating. ",By Mauricio V,"Oct 03, 2016",1,python
It does not worth a penny to spend time in this course. ,By Bipulendu H,"Apr 14, 2016",1,python
"This course is way too slow  and boring. I am disappointed I have paid so much for so few content here. Why a full specialisation cycle when one or two courses would probably have been more than enough ? Too much distraction as well, with ""funny"" videos that I had to pay for...",By Deleted A,"Oct 15, 2016",1,python
The class is very very basic for the offered price. Not suitable for someone from Computer science background looking to learn Python as this can be done with couple of hours of self study. Not sure why Coursera would make such begginers class mandatory for the specialization. ,By Rakesh N R,"Feb 24, 2016",1,python
"
Pretty bad as far as I am conerned. I spent two days clicking back and forth and listening to a lot of talk that taught me nothing. Sorry about that, but there are better courses on the Internet than this one.
",By Deleted A,"Jul 25, 2016",1,python
Trivial course.  This 7-week course can be easily completed in an hour.  I learned nothing from this course that I did not already know about python.  This course is strictly for beginners.,By Allan C,"Dec 03, 2016",1,python
I did like this course however it is very very basic. I think it should have been merged with course 2 as the course contents are as good as one week work.,By chirag m,"Jun 23, 2016",1,python
Course did not meet my expectations. I would not have paid the $80 for it knowing what I know now. I also found the lectures to be not very helpful. ,By Shreya B,"Dec 05, 2016",1,python
i had technical problems with both coursers's online system and also with the 3rd party online coding tool,By Paul R,"Dec 09, 2016",1,python
  Poor feedback and advice with those who really do not know of programming. To shame!  ,By Eddisson B,"Mar 03, 2016",1,python
Still canny program. 0/10 ,By Damien M,"Sep 30, 2016",1,python
kind of okay but...,By Urmi,"Aug 27, 2016",1,python
Poor course.,By Vijay B R B,"Dec 24, 2016",1,python
Very slow.,By Deleted A,"May 24, 2016",1,python
too basic,By guolf3,"Aug 13, 2016",1,python
